comparison,feature,n_positive,n_control,mean_positive,mean_control,cohen_d,abs_d
claim_ranked_conversation,max_fam_constraints,1431,344,5.216072072285885,0.03086509959457103,0.374344137931118,0.374344137931118
claim_ranked_conversation,max_colon_per_1k,1431,344,99.04025036063072,54.80407877712969,0.37154862616836953,0.37154862616836953
claim_ranked_conversation,mean_fam_trajectory,1431,344,0.4710413419974397,0.0780068337047018,0.367619704728468,0.367619704728468
claim_ranked_conversation,max_fam_reconstruction,1431,344,10.037005173384639,0.3415632639524478,0.3610600473846541,0.3610600473846541
claim_ranked_conversation,max_type_token_ratio,1431,344,0.9715462676201405,0.9400422652047145,0.34935712750051395,0.34935712750051395
claim_ranked_conversation,max_fam_composition,1431,344,4.097801494073104,0.08354783136344299,0.344664284543231,0.344664284543231
claim_ranked_conversation,mean_causal_per_1k,1431,344,1.3857977430641897,0.5301971767718577,0.3439170107961211,0.3439170107961211
claim_ranked_conversation,max_fam_robustness,1431,344,4.469174075255151,0.07103579209241495,0.34209929006182777,0.34209929006182777
claim_ranked_conversation,max_fam_topology,1431,344,8.265660024425982,0.5941622546803929,0.3371682765545462,0.3371682765545462
claim_ranked_conversation,max_numbered_per_1k,1431,344,32.975169862912956,17.87997972613656,0.32373458984870956,0.32373458984870956
claim_ranked_conversation,mean_fam_compression,1431,344,0.2749446961546013,0.02169385629989587,0.3201691522963816,0.3201691522963816
claim_ranked_conversation,mean_conditional_per_1k,1431,344,6.541693905710956,4.228332234304744,0.31537237699337856,0.31537237699337856
claim_ranked_conversation,max_fam_trajectory,1431,344,7.863766473380634,0.3204295788665827,0.30830815638721565,0.30830815638721565
claim_ranked_conversation,max_fam_compression,1431,344,3.9781370516444654,0.04338771259979174,0.3075051770470596,0.3075051770470596
claim_ranked_conversation,mean_fam_constraints,1431,344,0.42202020750522323,0.012056270187313336,0.2995612502118068,0.2995612502118068
claim_ranked_conversation,max_fam_meta,1431,344,9.259134836120136,2.7694373711826987,0.2942470830320221,0.2942470830320221
claim_ranked_conversation,dominant_dwell_rate,1431,344,0.07852730155839113,0.033116563763793586,0.28615378464154234,0.28615378464154234
claim_ranked_conversation,mean_fam_robustness,1431,344,0.36178467015036636,0.015115575498538088,0.2824434955584098,0.2824434955584098
claim_ranked_conversation,mean_meta_ref_per_1k,1431,344,5.812220384141914,3.5385741396589565,0.27497385344779496,0.27497385344779496
claim_ranked_conversation,max_fam_information,1431,344,13.204002658427001,3.3698468948095814,0.27269805170300354,0.27269805170300354
claim_ranked_conversation,max_semicolon_per_1k,1431,344,8.008644301770229,0.46722200889249205,0.26215018059676426,0.26215018059676426
claim_ranked_conversation,max_code_fence_per_1k,1431,344,2.57634467568122,0.3971377614441878,0.2617161304328552,0.2617161304328552
claim_ranked_conversation,mean_fam_reconstruction,1431,344,0.857392088456719,0.11977325579945575,0.24927462583127025,0.24927462583127025
claim_ranked_conversation,max_fam_genealogy,1431,344,1.1828752394807789,0.019395258411633663,0.23703872068251583,0.23703872068251583
claim_ranked_conversation,mean_semicolon_per_1k,1431,344,0.6552737184872849,0.13263890870376757,0.23423131051110185,0.23423131051110185
claim_ranked_conversation,max_bracket_per_1k,1431,344,21.560670374714572,10.744857299271976,0.22434259014967534,0.22434259014967534
claim_ranked_conversation,mean_fam_genealogy,1431,344,0.04049747750775352,0.0030359826532358534,0.21804101174890084,0.21804101174890084
claim_ranked_conversation,max_fam_coupling,1431,344,3.786250042452528,0.6238868346851533,0.21793221033052693,0.21793221033052693
claim_ranked_conversation,max_fam_persistence,1431,344,24.09016061375466,4.316619716723107,0.21055260332540898,0.21055260332540898
claim_ranked_conversation,mean_avg_word_len,1431,344,5.122757674795411,4.9965739741139235,0.2002157009292809,0.2002157009292809
claim_ranked_conversation,max_fam_cross_model,1431,344,0.6088962462504098,0.07849502421371933,0.19200345125510357,0.19200345125510357
claim_ranked_conversation,max_fam_cross_domain,1431,344,5.3027886567092954,1.3712377501281432,0.18188055964089395,0.18188055964089395
claim_ranked_conversation,mean_fam_topology,1431,344,0.5979801460712301,0.2762615946579809,0.17629046157054554,0.17629046157054554
claim_ranked_conversation,mean_fam_coupling,1431,344,0.21918413874411155,0.4659569995595825,-0.16207476666397713,0.16207476666397713
claim_ranked_conversation,mean_fam_persistence,1431,344,1.406312515703215,0.4605709331894229,0.1577235144632005,0.1577235144632005
claim_ranked_conversation,mean_self_ref_per_1k,1431,344,18.6772835874209,21.24918640392266,-0.13251380276938177,0.13251380276938177
claim_ranked_conversation,mean_bracket_per_1k,1431,344,2.4331600513655114,3.5777636400819692,-0.12348371938830004,0.12348371938830004
claim_ranked_conversation,mean_fam_generativity,1431,344,1.0852710701085135,1.954236596133481,-0.1210188402795563,0.1210188402795563
claim_ranked_conversation,max_fam_generativity,1431,344,17.631814121994044,9.012026007695006,0.11536843937397934,0.11536843937397934
