MODEL,LINEAGE_CONVERSATION_ID,LINEAGE_SCORE,EXTERNAL_PERCENTILE,N_EXTERNAL_GE
SURFACE_FREE,69d3132e-93d0-838f-a1f3-1a95eff13c4c,0.9998916727883269,73.20029563932003,1813
SURFACE_FREE,69d65649-2ac0-8390-a8d3-9bd9208505ab,0.9942161860160134,65.27716186252772,2349
SURFACE_FREE,69dc4b24-d084-8394-b367-1e22f8875543,0.8836343965935446,54.64892830746489,3068
SURFACE_FREE,69e121c1-acd8-8393-8efb-92d83e9ea6b9,0.9968314514591523,66.79970436067997,2246
SURFACE_FREE,69e1acd6-86e0-838a-9e38-a40391a2a5aa,0.9999989232312559,80.62084257206207,1311
SURFACE_FREE,69f54b03-1d20-83eb-84c1-0d2b17f2bfd2,0.9988397642428638,69.0169992609017,2096
SURFACE_FREE,6a065893-97ac-838a-9e45-0291cf9b4414,0.8370145492677744,52.357723577235774,3223
SURFACE_FREE,6a077205-226c-8395-8609-a82424f0f284,0.9999858597356207,76.86622320768663,1565
SURFACE_FREE,6a2489e9-b794-83eb-80dd-bb92841a63bb,0.715047689532194,47.77531411677754,3533
SURFACE_FREE,6a275b51-56e8-83eb-a153-17fc860f233a,0.9971835068482394,67.13968957871397,2223
SURFACE_FREE,6a277af3-a960-83ed-81f4-c7bfa08e82bb,0.17817942163997874,27.745750184774575,4888
R1_COMPATIBLE,68b5df00-83c8-832c-9208-ec73ca31cae7,0.7515289271442247,32.2690317812269,4582
R1_COMPATIBLE,68b72f6a-4260-8321-9047-a8edf5a76dd9,0.36070240989538077,22.85291943828529,5219
R1_COMPATIBLE,68ba9e45-d9ac-8330-ba80-5a305f542e97,0.4552167961434933,25.439763488543974,5044
R1_COMPATIBLE,68bcb67c-eb7c-8326-911f-69fecf6c564c,0.5571788506355551,27.849223946784925,4881
R1_COMPATIBLE,68bde332-e1cc-8329-95a8-baaaac306d53,0.2764986154222366,20.221729490022174,5397
R1_COMPATIBLE,68c08ca8-2990-8331-927b-b07ae4895113,0.9470704856011565,39.866962305986696,4068
R1_COMPATIBLE,68c18649-3048-8320-8d95-36ee48bfad64,0.18754081585888244,17.28011825572801,5596
R1_COMPATIBLE,68c2e64f-9d34-832a-81a1-d832f39f7e9f,0.18899500806938252,17.324464153732446,5593
R1_COMPATIBLE,68c34f54-b95c-8327-b102-04c487270761,0.7570604897894412,32.40206947524021,4573
R1_COMPATIBLE,68c55edf-c99c-8320-929f-3c3a13528504,0.8299234130260585,34.48632668144863,4432
R1_COMPATIBLE,68c5b659-cd98-8326-9d4c-aa1362c86b88,0.2368032171809983,19.09830007390983,5473
R1_COMPATIBLE,68c5e7c6-00cc-832a-85e0-30929e6e9788,0.36172589239047404,22.88248337028825,5217
R1_COMPATIBLE,68c7f8ae-27f0-8325-8df9-8b73e1efc66f,0.7337212940004356,31.88470066518847,4608
R1_COMPATIBLE,68c9c389-91a0-8333-bf56-70f7ba25b691,0.4474569871690595,25.203252032520325,5060
R1_COMPATIBLE,68cbc8ef-d014-832c-b131-12e1c59913d4,0.1535004522542548,15.97930524759793,5684
R1_COMPATIBLE,68cf5918-1848-8322-a9e9-87de448056f4,0.11219994750442135,14.131559497413157,5809
R1_COMPATIBLE,68daaf7a-3680-8331-b013-24a611c9f85a,0.45217107843931276,25.321507760532153,5052
