seed,condition,rep,response_id,response_sha256,OUTPUT_TOKENS,CHAR_COUNT,WORD_COUNT,SENTENCE_COUNT,TYPE_TOKEN_RATIO,AVG_WORD_LENGTH,LATENCY_SECONDS,RETURN,GENERATIVE_REUSE,RECURRENCE,META_CONTROL,PRESERVATION,COMPRESSION,TRANSFORMATION,CAUSAL,TRAJECTORY_DENSITY,CONTROL_DENSITY,PRESERVATION_DENSITY,FINGERPRINT_MAGNITUDE
0,R_RECURSION_CONTROL,1,resp_0f8ea0ca8e27bfec006aa3130e4e5887d2a14dce5d48a05777,6ad9fb290dffe3fa007e3dd2d138a96c941536039687c3f1aeabb04f86e6474d,260.0,231.0,35.0,2.0,0.8857142857142857,5.485714285714286,4.372049331665039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,R_RECURSION_CONTROL,2,resp_0773be64e66bb92d006aa3130e567487d29fe464b7a4cbc3d1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,260.0,0.0,0.0,0.0,0.0,0.0,4.726928234100342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,R_RECURSION_CONTROL,3,resp_07a7ff211355b91c006aa3130e996887d2b886cffe8358acfe,377cfd28cab85743f49447e8ef72943be2833b4ced0d4823fd8ee72cc9e08f0d,260.0,482.0,73.0,4.0,0.7671232876712328,5.506849315068493,4.175689458847046,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0
0,X_COMPLEXITY_CONTROL,0,resp_05942094e4d6a7ec006aa3130f229887d2b2036c194c45ad98,447d94c89e568ddeaa8da041ab08392cd79e572de820b75d1f93e19cab322f6c,260.0,1037.0,150.0,9.0,0.76,5.8,4.065577030181885,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0
0,X_COMPLEXITY_CONTROL,1,resp_048adcd4ee659f4a006aa3130f4ab887d2a1cee73d5ad19017,6f9c52814a36689f4d0574e190446da7c27ee12fb4d8fbc5ca62a34b623441e4,260.0,894.0,114.0,8.0,0.7982456140350878,6.666666666666667,4.660337448120117,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0,1.0,4.0
0,X_COMPLEXITY_CONTROL,2,resp_01b4eb63d0ba23c3006aa3130f685887d2af580079b616d31c,2cde489b14d28f24d984ba472c9e2943a645c69b5467d721f0bd1aa99016b779,260.0,900.0,126.0,7.0,0.7857142857142857,6.0476190476190474,4.544814109802246,0.0,0.0,0.0,2.0,4.0,0.0,3.0,1.0,3.0,3.0,4.0,10.0
0,X_COMPLEXITY_CONTROL,3,resp_05770175ca8f6f4c006aa31310d09087d2aed3a1591cc3ac5a,ae983282786e248644d23974742d285018415e58bed92d75490faca247c6510b,260.0,735.0,100.0,6.0,0.8,6.21,4.6791205406188965,0.0,0.0,0.0,1.0,2.0,0.0,3.0,1.0,3.0,2.0,2.0,7.0
0,L_LINEAR_CONTROL,0,resp_04ec54e11155e7db006aa3131146d087d28590724976b2ad5d,67377dd234271a8356a1bf6e5c69a7138941295b0c1860a128a8df7b002154ee,260.0,78.0,13.0,2.0,1.0,5.0,3.527956485748291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,L_LINEAR_CONTROL,1,resp_044e49adedc87af8006aa3131151e887d29eed8d624830f421,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,260.0,0.0,0.0,0.0,0.0,0.0,3.6089553833007812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,L_LINEAR_CONTROL,2,resp_0b496c6aca3175dd006aa31311bdd487d29c14f5ce170bfd01,f91098829f403c3c8ee213e8a8f9c942d7ea7850d4a7ca3686a52620c39368bc,245.0,299.0,46.0,3.0,0.8478260869565217,5.434782608695652,3.5056605339050293,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,4.0
0,L_LINEAR_CONTROL,3,resp_082ee449c4772bc4006aa31312074087d2af91c69ada699fb5,a37d041e9fdf8261067cf95a6fa33fbb43783330e7b388dc46891412e2967846,247.0,147.0,20.0,2.0,0.9,6.25,3.8763809204101562,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0
0,G_RANDOM_GRAPH_CONTROL,0,resp_0a283bb7d1964f8a006aa31312acb487d29ff9f118669e229b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,260.0,0.0,0.0,0.0,0.0,0.0,4.290121793746948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,G_RANDOM_GRAPH_CONTROL,1,resp_03fbcd6b5f6de594006aa31312c68487d2a3c8761c386b1919,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,260.0,0.0,0.0,0.0,0.0,0.0,4.148056745529175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,G_RANDOM_GRAPH_CONTROL,2,resp_01ea62628f76de78006aa313130df087d291680be05e867889,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,260.0,0.0,0.0,0.0,0.0,0.0,3.710815668106079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,G_RANDOM_GRAPH_CONTROL,3,resp_0c03f28f9f2a750e006aa313135ef487d28989fba489ed2a12,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,260.0,0.0,0.0,0.0,0.0,0.0,4.340742588043213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,DM_DIRECTION_META_DAMAGE,0,resp_053e701012f3ebf1006aa31314069087d2a524430a8b709f96,ec34ed6639d39e32ec9f9d1dfed8656f1779a0e7d6830ae0781026d41da5f7dc,260.0,97.0,15.0,1.0,0.9333333333333333,5.533333333333333,5.001369476318359,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0,DM_DIRECTION_META_DAMAGE,1,resp_0a6a65c67362f1ac006aa31313febc87d2a7a3550e7ed12b86,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,260.0,0.0,0.0,0.0,0.0,0.0,4.45016884803772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,DM_DIRECTION_META_DAMAGE,2,resp_0d0abb0c8be3a819006aa31314ba2887d2a2bf38f8b4e8bb29,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,260.0,0.0,0.0,0.0,0.0,0.0,3.8736023902893066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,DM_DIRECTION_META_DAMAGE,3,resp_0e9cc7685d7c9c8b006aa31314e4d487d28a8ac312edaf4dce,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.0,0.0,0.0,0.0,0.0,0.0,4.1592488288879395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,DP_DIRECTION_PRESERVATION_DAMAGE,0,resp_0237770d684d9cde006aa3131543a887d29f924515f9b6c17b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,260.0,0.0,0.0,0.0,0.0,0.0,4.030275106430054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,DP_DIRECTION_PRESERVATION_DAMAGE,1,resp_06d3dc85db771c79006aa313157f8487d2901c61df50ccb374,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,260.0,0.0,0.0,0.0,0.0,0.0,3.5722415447235107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,DP_DIRECTION_PRESERVATION_DAMAGE,2,resp_0442466246065bca006aa31315eab087d29e588b48ae10f0e2,bedccfa921466d80c80faa7c32633e2dcca370b217f0970650e54a4d04017432,260.0,340.0,51.0,3.0,0.8431372549019608,5.627450980392157,4.171222686767578,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0
0,DP_DIRECTION_PRESERVATION_DAMAGE,3,resp_04d8cba4f6f650a7006aa31316cb8887d2aad3626af83173c0,dccc596e23b53c4d56cf56719661d328db4eb54fff3b45369c5a8c0cdef8bd8e,260.0,631.0,92.0,5.0,0.75,5.771739130434782,4.111982107162476,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,4.0,1.0,6.0
0,OP_ORDER_PRESERVATION_DAMAGE,0,resp_0ced8fd8bc28f224006aa31316ed0887d2830299ae97dcb647,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,260.0,0.0,0.0,0.0,0.0,0.0,4.211443662643433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,OP_ORDER_PRESERVATION_DAMAGE,1,resp_06f2207fedfcfdae006aa31316f62087d2987fcee6e504cb28,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,260.0,0.0,0.0,0.0,0.0,0.0,6.190953254699707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,OP_ORDER_PRESERVATION_DAMAGE,2,resp_086c229013b3bbaf006aa3131783e887d288e165d355b863b9,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,260.0,0.0,0.0,0.0,0.0,0.0,4.025741338729858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,OP_ORDER_PRESERVATION_DAMAGE,3,resp_0132fc016be6cea5006aa31318689487d285fad1b5163ddd57,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,260.0,0.0,0.0,0.0,0.0,0.0,3.919043779373169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,PT_PRESERVATION_TERMINAL_DAMAGE,0,resp_0bfcb104261ee830006aa313189c8087d2aeb6d0a771224217,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,260.0,0.0,0.0,0.0,0.0,0.0,4.33554220199585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,PT_PRESERVATION_TERMINAL_DAMAGE,1,resp_050ab7fa201cc3c9006aa31318f1e087d28e4283c218081cdf,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,260.0,0.0,0.0,0.0,0.0,0.0,4.147066593170166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,PT_PRESERVATION_TERMINAL_DAMAGE,2,resp_091c0616ca967dc4006aa31319223c87d29c5b446b836f289b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,260.0,0.0,0.0,0.0,0.0,0.0,4.2305450439453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
