SCOPE,PARTITION,CONTROL,N,AUTH_ADVANTAGE,P,HOLM_P,PASS
N2_STABLE,CONFIRMATION,DEGREE_MATCHED,15,0.2786796515213024,0.0047997600119994,0.0143992800359982,True
N2_STABLE,CONFIRMATION,COMPLEXITY_MATCHED,15,0.013496816256380998,0.5307234638268087,0.5307234638268087,False
N2_STABLE,CONFIRMATION,TOPOLOGY_MATCHED,15,-0.004650418401430241,0.21023948802559872,0.42047897605119744,False
N2_STABLE,CONFIRMATION,FORWARD,15,0.5898185499955603,0.0009499525023748813,0.003799810009499525,True
N2_STABLE,CONFIRMATION,RANDOM,15,0.5468569350122757,0.00024998750062496874,0.0012499375031248437,True
N2_STABLE,FINAL_HOLDOUT,DEGREE_MATCHED,16,0.5267766942383516,0.000199990000499975,0.0007999600019999,True
N2_STABLE,FINAL_HOLDOUT,COMPLEXITY_MATCHED,16,0.08470250698651427,0.017949102544872756,0.03589820508974551,True
N2_STABLE,FINAL_HOLDOUT,TOPOLOGY_MATCHED,16,0.0014744829026399758,0.8307084645767712,0.8307084645767712,False
N2_STABLE,FINAL_HOLDOUT,FORWARD,16,0.925465508045745,4.999750012499375e-05,0.00024998750062496874,True
N2_STABLE,FINAL_HOLDOUT,RANDOM,16,0.7652633192180931,0.000199990000499975,0.0007999600019999,True
N3_COMPACT,ALL,DEGREE_MATCHED,65,0.4643902381941476,4.999750012499375e-05,0.00024998750062496874,True
N3_COMPACT,ALL,COMPLEXITY_MATCHED,65,0.053610908274370796,0.00039998000099995,0.0007999600019999,True
N3_COMPACT,ALL,TOPOLOGY_MATCHED,65,0.009117342849424512,0.02214889255537223,0.02214889255537223,True
N3_COMPACT,ALL,FORWARD,65,1.0515616317831733,4.999750012499375e-05,0.00024998750062496874,True
N3_COMPACT,ALL,RANDOM,65,0.8667503191979293,4.999750012499375e-05,0.00024998750062496874,True
N3_COMPACT,DEVELOPMENT,DEGREE_MATCHED,34,0.38019932739648715,4.999750012499375e-05,0.00024998750062496874,True
N3_COMPACT,DEVELOPMENT,COMPLEXITY_MATCHED,34,0.035751564560886635,0.07254637268136593,0.14509274536273187,False
N3_COMPACT,DEVELOPMENT,TOPOLOGY_MATCHED,34,0.00608223654399141,0.247987600619969,0.247987600619969,False
N3_COMPACT,DEVELOPMENT,FORWARD,34,1.055655229068391,4.999750012499375e-05,0.00024998750062496874,True
N3_COMPACT,DEVELOPMENT,RANDOM,34,0.8773342466145656,4.999750012499375e-05,0.00024998750062496874,True
N3_COMPACT,CONFIRMATION,DEGREE_MATCHED,15,0.5027684666777528,4.999750012499375e-05,0.00024998750062496874,True
N3_COMPACT,CONFIRMATION,COMPLEXITY_MATCHED,15,0.08913072438955277,0.002599870006499675,0.00519974001299935,True
N3_COMPACT,CONFIRMATION,TOPOLOGY_MATCHED,15,0.012713459143390733,0.14339283035848208,0.14339283035848208,False
N3_COMPACT,CONFIRMATION,FORWARD,15,1.0535971138548144,9.99950002499875e-05,0.00039998000099995,True
N3_COMPACT,CONFIRMATION,RANDOM,15,0.8491316840777438,9.99950002499875e-05,0.00039998000099995,True
N3_COMPACT,FINAL_HOLDOUT,DEGREE_MATCHED,16,0.6073163344357961,4.999750012499375e-05,0.00024998750062496874,True
N3_COMPACT,FINAL_HOLDOUT,COMPLEXITY_MATCHED,16,0.05826218605754148,0.1288935553222339,0.2577871106444678,False
N3_COMPACT,FINAL_HOLDOUT,TOPOLOGY_MATCHED,16,0.012195584722876525,0.2126893655317234,0.2577871106444678,False
N3_COMPACT,FINAL_HOLDOUT,FORWARD,16,1.0409544731099225,9.99950002499875e-05,0.00039998000099995,True
N3_COMPACT,FINAL_HOLDOUT,RANDOM,16,0.860776943862751,9.99950002499875e-05,0.00039998000099995,True
