PARTITION,FAMILY,EDGE,CONDITION,N,EXCESS_DISTANCE,P,SWITCH_LINKED,HOLM_P,PASS
CONFIRMATION,REVERSE,4,E4_REVERSE,15,23.26742689872189,9.99950002499875e-05,False,0.0008999550022498875,True
CONFIRMATION,REVERSE,5,E5_REVERSE,15,8.20029622435589,0.00014999250037498125,False,0.0008999550022498875,True
CONFIRMATION,REVERSE,6,E6_REVERSE,15,9.949779840940879,0.000199990000499975,False,0.0008999550022498875,True
CONFIRMATION,REVERSE,7,E7_REVERSE,15,18.23564968253323,0.00014999250037498125,True,0.0008999550022498875,True
CONFIRMATION,REVERSE,8,E8_REVERSE,15,0.2836794359527685,0.7166141692915354,False,0.7166141692915354,False
CONFIRMATION,REVERSE,9,E9_REVERSE,15,26.245312192990486,0.00014999250037498125,True,0.0008999550022498875,True
FINAL_HOLDOUT,DELETE,0,E0_DELETE,16,5.378758054346874,9.99950002499875e-05,False,0.0004999750012499375,True
FINAL_HOLDOUT,DELETE,1,E1_DELETE,16,9.542497612330015,4.999750012499375e-05,False,0.0004999750012499375,True
FINAL_HOLDOUT,DELETE,2,E2_DELETE,16,17.442689156913797,4.999750012499375e-05,False,0.0004999750012499375,True
FINAL_HOLDOUT,DELETE,3,E3_DELETE,16,19.29184517124239,4.999750012499375e-05,False,0.0004999750012499375,True
FINAL_HOLDOUT,DELETE,4,E4_DELETE,16,19.80919007025426,0.00014999250037498125,False,0.0004999750012499375,True
FINAL_HOLDOUT,DELETE,5,E5_DELETE,16,8.64250473026462,4.999750012499375e-05,False,0.0004999750012499375,True
FINAL_HOLDOUT,DELETE,6,E6_DELETE,16,7.285591884661228,9.99950002499875e-05,False,0.0004999750012499375,True
FINAL_HOLDOUT,DELETE,7,E7_DELETE,16,21.143741157857114,4.999750012499375e-05,True,0.0004999750012499375,True
FINAL_HOLDOUT,DELETE,8,E8_DELETE,16,5.930774971547855,4.999750012499375e-05,False,0.0004999750012499375,True
FINAL_HOLDOUT,DELETE,9,E9_DELETE,16,10.463099231705215,0.00014999250037498125,False,0.0004999750012499375,True
FINAL_HOLDOUT,REVERSE,0,E0_REVERSE,16,7.2801077942391395,9.99950002499875e-05,False,0.0006999650017499125,True
FINAL_HOLDOUT,REVERSE,1,E1_REVERSE,16,8.860135800492081,0.00014999250037498125,False,0.0006999650017499125,True
FINAL_HOLDOUT,REVERSE,2,E2_REVERSE,16,15.797351320489664,9.99950002499875e-05,False,0.0006999650017499125,True
FINAL_HOLDOUT,REVERSE,3,E3_REVERSE,16,19.765435160906975,9.99950002499875e-05,False,0.0006999650017499125,True
FINAL_HOLDOUT,REVERSE,4,E4_REVERSE,16,21.55214797113129,9.99950002499875e-05,False,0.0006999650017499125,True
FINAL_HOLDOUT,REVERSE,5,E5_REVERSE,16,8.488303101339625,4.999750012499375e-05,False,0.0004999750012499375,True
FINAL_HOLDOUT,REVERSE,6,E6_REVERSE,16,11.34373368180405,4.999750012499375e-05,False,0.0004999750012499375,True
FINAL_HOLDOUT,REVERSE,7,E7_REVERSE,16,22.84175515914928,4.999750012499375e-05,True,0.0004999750012499375,True
FINAL_HOLDOUT,REVERSE,8,E8_REVERSE,16,1.1952069905539615,0.08339583020848958,False,0.08339583020848958,False
FINAL_HOLDOUT,REVERSE,9,E9_REVERSE,16,34.330934220872635,0.00014999250037498125,True,0.0006999650017499125,True
