SEED,CONDITION,PROMPT_CHARS,EDGE_COUNT,SCC_COUNT,LARGEST_SCC,RECIPROCITY,TRANSITIVITY,IN_DEGREE_SD,OUT_DEGREE_SD
38,M_SWITCH_NEUTRALIZED,1046,10,3,6,0.0,0.15789473684210525,0.6614378277661477,0.6614378277661477
38,P_ANCHOR_REASSIGNED,1046,10,3,6,0.0,0.15789473684210525,0.6614378277661477,0.6614378277661477
38,T_TERMINAL_CHANGED,1046,10,3,6,0.0,0.15789473684210525,0.6614378277661477,0.6614378277661477
38,R_DEGREE_MATCHED_REWIRE,1046,10,5,4,0.0,0.3157894736842105,0.6614378277661477,0.6614378277661477
38,X_COMPLEXITY_MATCHED,1046,10,3,6,0.0,0.3,0.82915619758885,0.6614378277661477
38,L_FORWARD_CONTROL,1046,10,8,1,0.0,0.17647058823529413,0.6614378277661477,0.6614378277661477
38,G_RANDOM_CONTROL,1046,10,6,3,0.2,0.4,0.6614378277661477,1.0897247358851685
38,S_SURFACE_FORMAT_CONTROL,1440,10,3,6,0.0,0.15789473684210525,0.6614378277661477,0.6614378277661477
39,A_AUTHENTIC,1046,10,3,6,0.0,0.15789473684210525,0.6614378277661477,0.6614378277661477
39,I_ISOMORPHIC_RELABEL,1046,10,3,6,0.0,0.15789473684210525,0.6614378277661477,0.6614378277661477
39,D_DIRECTION_REVERSED,1046,10,3,6,0.0,0.15789473684210525,0.6614378277661477,0.6614378277661477
39,O_ORDER_SHUFFLED,1046,10,3,6,0.0,0.15789473684210525,0.6614378277661477,0.6614378277661477
39,M_SWITCH_NEUTRALIZED,1046,10,3,6,0.0,0.15789473684210525,0.6614378277661477,0.6614378277661477
39,P_ANCHOR_REASSIGNED,1046,10,3,6,0.0,0.15789473684210525,0.6614378277661477,0.6614378277661477
39,T_TERMINAL_CHANGED,1046,10,3,6,0.0,0.15789473684210525,0.6614378277661477,0.6614378277661477
39,R_DEGREE_MATCHED_REWIRE,1046,10,5,4,0.2,0.0,0.6614378277661477,0.6614378277661477
39,X_COMPLEXITY_MATCHED,1046,10,3,6,0.0,0.16666666666666666,0.82915619758885,0.6614378277661477
39,L_FORWARD_CONTROL,1046,10,8,1,0.0,0.17647058823529413,0.6614378277661477,0.6614378277661477
39,G_RANDOM_CONTROL,1046,10,4,5,0.2,0.17647058823529413,0.9682458365518543,0.9682458365518543
39,S_SURFACE_FORMAT_CONTROL,1440,10,3,6,0.0,0.15789473684210525,0.6614378277661477,0.6614378277661477
40,A_AUTHENTIC,1046,10,3,6,0.0,0.15789473684210525,0.6614378277661477,0.6614378277661477
40,I_ISOMORPHIC_RELABEL,1046,10,3,6,0.0,0.15789473684210525,0.6614378277661477,0.6614378277661477
40,D_DIRECTION_REVERSED,1046,10,3,6,0.0,0.15789473684210525,0.6614378277661477,0.6614378277661477
