structural_signature,first_documented_role,timestamp_utc,conversation_id,message_id,model_slug
CTL|HIER|RECUR,ASSISTANT_FIRST,2025-04-20T13:04:04.764889+00:00,6802041e-31a4-8013-96d2-6eb6cb8dc2ee,3557edf7-e47f-4b27-a1b8-cdff433699ed,gpt-4o
CTL|HIER|STATE,ASSISTANT_FIRST,2025-04-12T16:47:52.851539+00:00,67f2cb51-5e44-8013-8de2-c4fb1f4939af,b27ef27a-5ac5-4ccb-b08b-7c2942b37d39,gpt-4o
CTL|HIER|TRANS,ASSISTANT_FIRST,2025-04-12T16:47:52.851539+00:00,67f2cb51-5e44-8013-8de2-c4fb1f4939af,b27ef27a-5ac5-4ccb-b08b-7c2942b37d39,gpt-4o
CTL|META|NODE,ASSISTANT_FIRST,2025-06-11T02:14:06.266183+00:00,6848b1a3-cda8-8013-a656-17f5555e870d,9ceb8143-f7d7-4740-9912-a50485b02210,gpt-4o
CTL|META|RECUR,ASSISTANT_FIRST,2025-06-13T18:04:30.705579+00:00,684c67e7-0cf8-8013-b5a1-c64b98cfc596,5f025484-9a7e-4434-87ff-f6250e7c9317,gpt-4o
CTL|META|STATE,ASSISTANT_FIRST,2025-06-13T19:11:13.269699+00:00,684c67e7-0cf8-8013-b5a1-c64b98cfc596,50ba5f16-a970-4a2a-8461-1a07a467f78a,gpt-4o
CTL|META|TRANS,ASSISTANT_FIRST,2024-06-11T21:14:30.230379+00:00,db639d4a-6fa2-444d-838a-f128ee0c9777,8d3ac12d-772e-4689-8eaa-dbd287150fc8,gpt-4o
CTL|NODE|RECUR,ASSISTANT_FIRST,2025-06-04T23:19:40.819113+00:00,683f2f8d-b408-8013-aac2-b2ae8a838260,618c78de-53b5-4134-aae3-ec48d7521a54,gpt-4o
CTL|NODE|STATE,ASSISTANT_FIRST,2025-07-03T17:35:48.306623+00:00,6866b62f-47cc-8013-b044-5929e9662cdb,8ab855d4-367e-4f43-be98-a2b06361db11,gpt-4o
CTL|NODE|TRANS,ASSISTANT_FIRST,2025-06-04T23:19:40.819113+00:00,683f2f8d-b408-8013-aac2-b2ae8a838260,618c78de-53b5-4134-aae3-ec48d7521a54,gpt-4o
CTL|RECUR|STATE,ASSISTANT_FIRST,2025-06-03T00:41:37.497035+00:00,683a6c62-08a8-8013-b5b8-a9381a2ec495,7e296d44-7723-4939-9e02-400b8b5eb38e,gpt-4o
CTL|RECUR|TRANS,ASSISTANT_FIRST,2025-06-02T17:58:31.452325+00:00,683a6c62-08a8-8013-b5b8-a9381a2ec495,70fe21a2-0018-4a0a-a212-8f80f6b5959f,gpt-4o
CTL|STATE|TRANS,ASSISTANT_FIRST,2025-04-12T16:47:52.851539+00:00,67f2cb51-5e44-8013-8de2-c4fb1f4939af,b27ef27a-5ac5-4ccb-b08b-7c2942b37d39,gpt-4o
GEN|ARCH|COMP,ASSISTANT_FIRST,2025-05-19T14:44:55.604175+00:00,682956af-3910-8013-955a-be94c4d58c07,c693ad9e-c848-4c3f-8198-3cac2b58d306,gpt-4o
GEN|ARCH|CONTROL,ASSISTANT_FIRST,2024-08-16T04:34:13.841608+00:00,55f951f5-0de6-4d74-a672-7bc4dfaee611,91a46fb6-55f4-4c02-a42d-cea8ec21625e,gpt-4o
GEN|ARCH|GENE,ASSISTANT_FIRST,2025-05-26T21:28:07.335359+00:00,68336d0b-6e14-8013-b662-5b7e3471a6e5,da1afdc4-74f8-480b-aea8-c9a69ce31cd8,gpt-4o
GEN|ARCH|HIER,ASSISTANT_FIRST,2025-04-20T22:49:26.882064+00:00,6802041e-31a4-8013-96d2-6eb6cb8dc2ee,276bc0b4-e701-46b8-9feb-1b3a926a23d4,gpt-4o
GEN|ARCH|META,USER_FIRST,2025-06-29T07:08:42.057000+00:00,6860ba8e-1444-8013-a852-0f78969b8ac6,dae07f30-7201-472f-9edd-99519fc69802,gpt-4o
