SCOPE,PARTITION,CONTROL,N,AUTH_ADVANTAGE,P,HOLM_P,PASS
N2_STABLE,DEVELOPMENT,COMPLEXITY_MATCHED,38,0.023234424510109777,0.2126893655317234,0.4253787310634468,False
N2_STABLE,DEVELOPMENT,TOPOLOGY_MATCHED,38,0.0022920753542401183,0.6460676966151693,0.6460676966151693,False
N2_STABLE,DEVELOPMENT,FORWARD,38,0.7480268055471363,4.999750012499375e-05,0.00024998750062496874,True
N2_STABLE,DEVELOPMENT,RANDOM,38,0.6613981790662254,4.999750012499375e-05,0.00024998750062496874,True
N2_STABLE,CONFIRMATION,DEGREE_MATCHED,19,0.28127764790772697,0.001399930003499825,0.004199790010499475,True
N2_STABLE,CONFIRMATION,COMPLEXITY_MATCHED,19,0.011810798911471026,0.5664216789160542,0.7702614869256538,False
N2_STABLE,CONFIRMATION,TOPOLOGY_MATCHED,19,-0.0030039569012071153,0.3851307434628269,0.7702614869256538,False
N2_STABLE,CONFIRMATION,FORWARD,19,0.6857826408705398,9.99950002499875e-05,0.00039998000099995,True
N2_STABLE,CONFIRMATION,RANDOM,19,0.5889956121716315,4.999750012499375e-05,0.00024998750062496874,True
N2_STABLE,FINAL_HOLDOUT,DEGREE_MATCHED,19,0.4831396089492584,9.99950002499875e-05,0.0002999850007499625,True
N2_STABLE,FINAL_HOLDOUT,COMPLEXITY_MATCHED,19,0.06834251799482038,0.02774861256937153,0.05549722513874306,False
N2_STABLE,FINAL_HOLDOUT,TOPOLOGY_MATCHED,19,0.0006800654264584695,0.903804809759512,0.903804809759512,False
N2_STABLE,FINAL_HOLDOUT,FORWARD,19,0.9079301068834009,4.999750012499375e-05,0.00024998750062496874,True
N2_STABLE,FINAL_HOLDOUT,RANDOM,19,0.7044677459759752,4.999750012499375e-05,0.00024998750062496874,True
N3_COMPACT,ALL,DEGREE_MATCHED,76,0.45780855417204447,4.999750012499375e-05,0.00024998750062496874,True
N3_COMPACT,ALL,COMPLEXITY_MATCHED,76,0.053641515925561725,0.000199990000499975,0.00039998000099995,True
N3_COMPACT,ALL,TOPOLOGY_MATCHED,76,0.010187203418001209,0.004699765011749413,0.004699765011749413,True
N3_COMPACT,ALL,FORWARD,76,1.05234234135498,4.999750012499375e-05,0.00024998750062496874,True
N3_COMPACT,ALL,RANDOM,76,0.8394909096078532,4.999750012499375e-05,0.00024998750062496874,True
N3_COMPACT,DEVELOPMENT,DEGREE_MATCHED,38,0.4060163714697483,4.999750012499375e-05,0.00024998750062496874,True
N3_COMPACT,DEVELOPMENT,COMPLEXITY_MATCHED,38,0.04435521543225072,0.02069896505174741,0.04139793010349482,True
N3_COMPACT,DEVELOPMENT,TOPOLOGY_MATCHED,38,0.00900845778651285,0.06904654767261637,0.06904654767261637,False
N3_COMPACT,DEVELOPMENT,FORWARD,38,1.056285379687317,4.999750012499375e-05,0.00024998750062496874,True
N3_COMPACT,DEVELOPMENT,RANDOM,38,0.8677103787727308,4.999750012499375e-05,0.00024998750062496874,True
N3_COMPACT,CONFIRMATION,DEGREE_MATCHED,19,0.4621729962481489,4.999750012499375e-05,0.00024998750062496874,True
N3_COMPACT,CONFIRMATION,COMPLEXITY_MATCHED,19,0.07172287579288295,0.009349532523373831,0.018699065046747662,True
N3_COMPACT,CONFIRMATION,TOPOLOGY_MATCHED,19,0.010442760599491528,0.1288935553222339,0.1288935553222339,False
N3_COMPACT,CONFIRMATION,FORWARD,19,1.05325962792771,4.999750012499375e-05,0.00024998750062496874,True
N3_COMPACT,CONFIRMATION,RANDOM,19,0.8272161860282959,4.999750012499375e-05,0.00024998750062496874,True
N3_COMPACT,FINAL_HOLDOUT,DEGREE_MATCHED,19,0.5570284775005324,4.999750012499375e-05,0.00024998750062496874,True
N3_COMPACT,FINAL_HOLDOUT,COMPLEXITY_MATCHED,19,0.05413275704486253,0.111994400279986,0.223988800559972,False
N3_COMPACT,FINAL_HOLDOUT,TOPOLOGY_MATCHED,19,0.01228913749948761,0.14414279286035697,0.223988800559972,False
N3_COMPACT,FINAL_HOLDOUT,FORWARD,19,1.0435389781175761,4.999750012499375e-05,0.00024998750062496874,True
N3_COMPACT,FINAL_HOLDOUT,RANDOM,19,0.7953266948576555,9.99950002499875e-05,0.0002999850007499625,True
