condition,combo_index,heldout_from_fitting,DIRECTION,ORDER,META_CONTROL,PRESERVATION,TERMINAL,seed,rep,response_id,response_sha256,latency_seconds,OUTPUT_TOKENS,WORD_COUNT,SENTENCE_COUNT,TYPE_TOKEN_RATIO,RETURN,RECURRENCE,GENERATIVE_REUSE,COMPRESSION,TRANSFORMATION,CAUSAL,TRAJECTORY,CONTROL,RELATIONAL,TOTAL
D+_O+_M+_P+_T-,30,False,1,1,1.0,2.0,-1,23,0,resp_01d81f63dbb1492b006aa31bf9931087d287d7f051fd9dc754,a73149d16c4f87754d5fe11e7a6200cb236d3002e7dcac0fc6fa350bda38f1f9,2.2722725868225098,117.0,103.0,5.0,0.6504854368932039,0.0,0.0,0.0,2.0,3.0,2.0,3.0,3.0,4.0,10.0
D+_O+_M+_P+_T-,30,False,1,1,0.0,2.0,-1,23,1,resp_0f0a5eea2873764a006aa31bf9ac8087d2a7a42aeb983b136e,26949bed528863becd532b457859227d39aae15324ebe2a187a3d2f798099a75,2.1429929733276367,106.0,90.0,4.0,0.7555555555555555,0.0,0.0,0.0,2.0,5.0,2.0,5.0,2.0,4.0,11.0
D+_O+_M+_P+_T-,30,False,1,1,1.0,1.0,-1,23,2,resp_0a0708322eac8f59006aa31bfa218087d28457340730d321dd,29b736803438ea5e21f9ce42941f427258534ce75a45623286b1233017feb7f0,1.7115187644958496,82.0,70.0,4.0,0.8571428571428571,0.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,6.0
D+_O+_M+_P+_T-,30,False,1,1,3.0,1.0,-1,24,0,resp_045ee28f6aec2995006aa31bfa3a9087d2bd359f3a3485c149,478c950672f1359f0f6b8a5b58731b41f9d5c172c2f2e4cf2d56dfed12c09fa5,2.4921483993530273,95.0,83.0,4.0,0.7951807228915663,0.0,0.0,0.0,1.0,4.0,1.0,4.0,4.0,2.0,10.0
D+_O+_M+_P+_T-,30,False,1,1,2.0,2.0,-1,24,1,resp_0bd5110adc2c476e006aa31bfa919487d2bc5d6c367805abc0,297c5bd6829e16f21c79675b134771d6ab6b78e1199ef0723485ec54f01ccb28,2.9301435947418213,154.0,136.0,7.0,0.7058823529411765,0.0,0.0,0.0,2.0,2.0,2.0,2.0,4.0,4.0,10.0
D+_O+_M+_P+_T-,30,False,1,1,1.0,2.0,-1,24,2,resp_06b43d0a231d3117006aa31bfb923087d299f4d70499dd9ed2,2aaeba970e17df12a267e52d1934b903126ed2e972bfd5ff58033653de1c05af,2.5674424171447754,111.0,94.0,5.0,0.7872340425531915,0.0,0.0,0.0,2.0,3.0,1.0,3.0,2.0,4.0,9.0
D+_O+_M+_P+_T-,30,False,1,1,2.0,3.0,-1,25,0,resp_00d3c672277d4a26006aa31bfbc3bc87d2b34ae210cff26ddf,6aa946729d79adfb8fc9976e71d873719379525e9d1741e13ab54ce6bed1ba9a,2.0803287029266357,85.0,74.0,4.0,0.7837837837837838,0.0,0.0,0.0,3.0,2.0,1.0,2.0,3.0,6.0,11.0
D+_O+_M+_P+_T-,30,False,1,1,2.0,1.0,-1,25,1,resp_0e27699c2d5417e5006aa31bfbdeb087d2b27494b005143f4f,dbe5ff14d989162b19144cea53bb2b89a5e174b929f7d0483d56848ee39dafe1,2.1488139629364014,70.0,57.0,3.0,0.9122807017543859,0.0,0.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0,7.0
D+_O+_M+_P+_T-,30,False,1,1,0.0,1.0,-1,25,2,resp_02c4b6dd1986ed1c006aa31bfbe0a087d2be79d60c16b0d242,6fbe1cf9b3be17bb44d3872eae9d71f7524f6c49db739879e665d1cd92a54e83,2.3533453941345215,76.0,67.0,3.0,0.8208955223880597,0.0,0.0,0.0,2.0,3.0,1.0,3.0,1.0,3.0,7.0
D+_O+_M+_P+_T-,30,False,1,1,0.0,1.0,-1,26,0,resp_0934f9b67da2cc09006aa31bfc14a887d2a71011378fa4f16c,c4a6c2b781ddc50e2b9d1ed806b724de9f733be69cfe6e855d4a7a71dd7c9a70,3.283308744430542,120.0,103.0,5.0,0.7378640776699029,0.0,0.0,0.0,2.0,3.0,1.0,3.0,1.0,3.0,7.0
D+_O+_M+_P+_T-,30,False,1,1,2.0,1.0,-1,26,1,resp_01fc886f63e4137a006aa31bfc26f487d2b6c594314df91055,c929d3796c496124663d63775f1e3cff66749d090bc4e82ef2ee653d4fb889cd,2.8313868045806885,122.0,107.0,5.0,0.794392523364486,0.0,0.0,0.0,2.0,4.0,0.0,4.0,2.0,3.0,9.0
D+_O+_M+_P+_T-,30,False,1,1,3.0,3.0,-1,26,2,resp_0a8f977be2b5403a006aa31bfc2cc087d2959909dd381f3cc9,b42862b61fad4e4b38ceaa81719374e2540b9c7b404c5d415145eea608617b72,2.402111768722534,105.0,93.0,5.0,0.7311827956989247,0.0,0.0,0.0,1.0,4.0,1.0,4.0,4.0,4.0,12.0
D+_O+_M+_P+_T-,30,False,1,1,3.0,1.0,-1,27,0,resp_04659ebf912bbceb006aa31bfc340487d29587e521c4281327,ac55e53431c6697d5c5599db8b1a71814a0862270805b427e0c63c6a846af697,2.2860147953033447,102.0,88.0,4.0,0.8181818181818182,0.0,0.0,0.0,1.0,3.0,1.0,3.0,4.0,2.0,9.0
D+_O+_M+_P+_T-,30,False,1,1,2.0,2.0,-1,27,1,resp_0a908729bec47407006aa31bfcbce487d2b1a6a7d46b88af0e,e13414c2722da5f08079800ba097cc1ee9cb02e3076a780c24a02519f84cc95e,2.236865997314453,98.0,82.0,4.0,0.8414634146341463,0.0,0.0,0.0,1.0,1.0,2.0,1.0,4.0,3.0,8.0
D+_O+_M+_P+_T-,30,False,1,1,2.0,4.0,-1,27,2,resp_049afb72b8f38bed006aa31bfcdfc087d29ce4faf3db266012,bfe7551f6f2a89d86549313ff691251fe6c9a29c81d59ae229f0f9090cd66ee2,2.539792060852051,112.0,98.0,6.0,0.7142857142857143,0.0,0.0,0.0,3.0,2.0,1.0,2.0,3.0,7.0,12.0
D+_O+_M+_P+_T-,30,False,1,1,1.0,1.0,-1,28,0,resp_06c1a4f209d905c0006aa31bfdbbcc87d280d9bf6072fa0c85,a6263fb5a5f6245f786130556b823084525ca00b91c793b104ce6d31fb2711b4,2.2739250659942627,80.0,68.0,3.0,0.8235294117647058,0.0,0.0,0.0,2.0,3.0,0.0,3.0,1.0,3.0,7.0
D+_O+_M+_P+_T-,30,False,1,1,3.0,1.0,-1,28,1,resp_02d0fcfdc4470473006aa31bfdc80887d2afc33dff7b41d15b,06b6ac6b2e65a0266f6f28393c4a9ee8cf6c751cdac9b13988fa5c99f53b0892,2.3048481941223145,108.0,94.0,5.0,0.8191489361702128,0.0,0.0,0.0,2.0,6.0,1.0,6.0,4.0,3.0,13.0
D+_O+_M+_P+_T-,30,False,1,1,2.0,2.0,-1,28,2,resp_05336455ad9e3a64006aa31bfdf5c487d2a25924b17ac2c5f9,2e55c3796bbdbfa4da5ab45822cd44b7e1e7e665ced9b9e10277a577d756eb9c,3.1362292766571045,116.0,98.0,6.0,0.7448979591836735,0.0,0.0,0.0,3.0,5.0,1.0,5.0,3.0,5.0,13.0
